Service,Discovery URL
networkmanagement,https://networkmanagement.googleapis.com/$discovery/rest?version=v1beta1
networkmanagement,https://networkmanagement.googleapis.com/$discovery/rest?version=v1
networksecurity,https://networksecurity.googleapis.com/$discovery/rest?version=v1beta1
networksecurity,https://networksecurity.googleapis.com/$discovery/rest?version=v1
networkservices,https://networkservices.googleapis.com/$discovery/rest?version=v1beta1
networkservices,https://networkservices.googleapis.com/$discovery/rest?version=v1
notebooks,https://notebooks.googleapis.com/$discovery/rest?version=v1
notebooks,https://notebooks.googleapis.com/$discovery/rest?version=v2
www,https://www.googleapis.com/discovery/v1/apis/oauth2/v2/rest
ondemandscanning,https://ondemandscanning.googleapis.com/$discovery/rest?version=v1beta1
ondemandscanning,https://ondemandscanning.googleapis.com/$discovery/rest?version=v1
oracledatabase,https://oracledatabase.googleapis.com/$discovery/rest?version=v1
orgpolicy,https://orgpolicy.googleapis.com/$discovery/rest?version=v2
osconfig,https://osconfig.googleapis.com/$discovery/rest?version=v1alpha
osconfig,https://osconfig.googleapis.com/$discovery/rest?version=v1beta
osconfig,https://osconfig.googleapis.com/$discovery/rest?version=v1
oslogin,https://oslogin.googleapis.com/$discovery/rest?version=v1alpha
oslogin,https://oslogin.googleapis.com/$discovery/rest?version=v1beta
oslogin,https://oslogin.googleapis.com/$discovery/rest?version=v1
pagespeedonline,https://pagespeedonline.googleapis.com/$discovery/rest?version=v5
paymentsresellersubscription,https://paymentsresellersubscription.googleapis.com/$discovery/rest?version=v1
people,https://people.googleapis.com/$discovery/rest?version=v1
places,https://places.googleapis.com/$discovery/rest?version=v1
playcustomapp,https://playcustomapp.googleapis.com/$discovery/rest?version=v1
playdeveloperreporting,https://playdeveloperreporting.googleapis.com/$discovery/rest?version=v1alpha1
playdeveloperreporting,https://playdeveloperreporting.googleapis.com/$discovery/rest?version=v1beta1
playgrouping,https://playgrouping.googleapis.com/$discovery/rest?version=v1alpha1
playintegrity,https://playintegrity.googleapis.com/$discovery/rest?version=v1
policyanalyzer,https://policyanalyzer.googleapis.com/$discovery/rest?version=v1beta1
policyanalyzer,https://policyanalyzer.googleapis.com/$discovery/rest?version=v1
policysimulator,https://policysimulator.googleapis.com/$discovery/rest?version=v1alpha
policysimulator,https://policysimulator.googleapis.com/$discovery/rest?version=v1beta
policysimulator,https://policysimulator.googleapis.com/$discovery/rest?version=v1
policytroubleshooter,https://policytroubleshooter.googleapis.com/$discovery/rest?version=v1beta
policytroubleshooter,https://policytroubleshooter.googleapis.com/$discovery/rest?version=v1
pollen,https://pollen.googleapis.com/$discovery/rest?version=v1
poly,https://poly.googleapis.com/$discovery/rest?version=v1
privateca,https://privateca.googleapis.com/$discovery/rest?version=v1beta1
privateca,https://privateca.googleapis.com/$discovery/rest?version=v1
prod-tt-sasportal,https://prod-tt-sasportal.googleapis.com/$discovery/rest?version=v1alpha1
publicca,https://publicca.googleapis.com/$discovery/rest?version=v1alpha1
publicca,https://publicca.googleapis.com/$discovery/rest?version=v1beta1
publicca,https://publicca.googleapis.com/$discovery/rest?version=v1
pubsub,https://pubsub.googleapis.com/$discovery/rest?version=v1beta1a
pubsub,https://pubsub.googleapis.com/$discovery/rest?version=v1beta2
pubsub,https://pubsub.googleapis.com/$discovery/rest?version=v1
pubsublite,https://pubsublite.googleapis.com/$discovery/rest?version=v1
rapidmigrationassessment,https://rapidmigrationassessment.googleapis.com/$discovery/rest?version=v1
readerrevenuesubscriptionlinking,https://readerrevenuesubscriptionlinking.googleapis.com/$discovery/rest?version=v1
realtimebidding,https://realtimebidding.googleapis.com/$discovery/rest?version=v1
recaptchaenterprise,https://recaptchaenterprise.googleapis.com/$discovery/rest?version=v1
recommendationengine,https://recommendationengine.googleapis.com/$discovery/rest?version=v1beta1
recommender,https://recommender.googleapis.com/$discovery/rest?version=v1beta1
recommender,https://recommender.googleapis.com/$discovery/rest?version=v1
redis,https://redis.googleapis.com/$discovery/rest?version=v1beta1
redis,https://redis.googleapis.com/$discovery/rest?version=v1
reseller,https://reseller.googleapis.com/$discovery/rest?version=v1
resourcesettings,https://resourcesettings.googleapis.com/$discovery/rest?version=v1
retail,https://retail.googleapis.com/$discovery/rest?version=v2alpha
retail,https://retail.googleapis.com/$discovery/rest?version=v2beta
retail,https://retail.googleapis.com/$discovery/rest?version=v2
run,https://run.googleapis.com/$discovery/rest?version=v1
run,https://run.googleapis.com/$discovery/rest?version=v2
runtimeconfig,https://runtimeconfig.googleapis.com/$discovery/rest?version=v1beta1
runtimeconfig,https://runtimeconfig.googleapis.com/$discovery/rest?version=v1
safebrowsing,https://safebrowsing.googleapis.com/$discovery/rest?version=v4
safebrowsing,https://safebrowsing.googleapis.com/$discovery/rest?version=v5
sasportal,https://sasportal.googleapis.com/$discovery/rest?version=v1alpha1
script,https://script.googleapis.com/$discovery/rest?version=v1
searchads360,https://searchads360.googleapis.com/$discovery/rest?version=v0
searchconsole,https://searchconsole.googleapis.com/$discovery/rest?version=v1
secretmanager,https://secretmanager.googleapis.com/$discovery/rest?version=v1beta1
secretmanager,https://secretmanager.googleapis.com/$discovery/rest?version=v1beta2
secretmanager,https://secretmanager.googleapis.com/$discovery/rest?version=v1
securitycenter,https://securitycenter.googleapis.com/$discovery/rest?version=v1beta1
securitycenter,https://securitycenter.googleapis.com/$discovery/rest?version=v1beta2
securitycenter,https://securitycenter.googleapis.com/$discovery/rest?version=v1
serviceconsumermanagement,https://serviceconsumermanagement.googleapis.com/$discovery/rest?version=v1beta1
serviceconsumermanagement,https://serviceconsumermanagement.googleapis.com/$discovery/rest?version=v1
servicecontrol,https://servicecontrol.googleapis.com/$discovery/rest?version=v1
servicecontrol,https://servicecontrol.googleapis.com/$discovery/rest?version=v2
servicedirectory,https://servicedirectory.googleapis.com/$discovery/rest?version=v1beta1
servicedirectory,https://servicedirectory.googleapis.com/$discovery/rest?version=v1
servicemanagement,https://servicemanagement.googleapis.com/$discovery/rest?version=v1
servicenetworking,https://servicenetworking.googleapis.com/$discovery/rest?version=v1beta
